goos: darwin
goarch: arm64
pkg: go.opentelemetry.io/collector/internal/fanoutconsumer
cpu: Apple M1 Max
BenchmarkLogsFanout/n=1/mix=all_mut/shape=medium_1k-10                 	80606785	         8.328 ns/op	120078.82 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=2/mix=all_mut/shape=medium_1k-10                 	    2910	    200318 ns/op	   4.99 MB/s	  260545 B/op	    5009 allocs/op
BenchmarkLogsFanout/n=2/mix=all_mut/shape=medium_1k-10                 	    3253	    257167 ns/op	   3.89 MB/s	  260546 B/op	    5009 allocs/op
BenchmarkLogsFanout/n=4/mix=all_mut/shape=medium_1k-10                 	     651	    945631 ns/op	   1.06 MB/s	  781643 B/op	   15027 allocs/op
BenchmarkLogsFanout/n=4/mix=all_mut/shape=medium_1k-10                 	     963	    652198 ns/op	   1.53 MB/s	  781636 B/op	   15027 allocs/op
BenchmarkLogsFanout/n=8/mix=all_mut/shape=medium_1k-10                 	     220	   2380001 ns/op	   0.42 MB/s	 1823839 B/op	   35063 allocs/op
BenchmarkLogsFanout/n=8/mix=all_mut/shape=medium_1k-10                 	     472	   1612690 ns/op	   0.62 MB/s	 1823824 B/op	   35063 allocs/op
BenchmarkLogsFanout/n=16/mix=all_mut/shape=medium_1k-10                	     207	   2859188 ns/op	   0.35 MB/s	 3908180 B/op	   75135 allocs/op
BenchmarkLogsFanout/n=16/mix=all_mut/shape=medium_1k-10                	     178	   3068946 ns/op	   0.33 MB/s	 3908183 B/op	   75135 allocs/op
BenchmarkLogsFanout/n=1/mix=all_ro/shape=medium_1k-10                  	262608201	         2.610 ns/op	383154.89 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=1/mix=all_ro/shape=medium_1k-10                  	233755683	         2.455 ns/op	407328.60 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=2/mix=all_ro/shape=medium_1k-10                  	63911376	        10.33 ns/op	96804.04 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=2/mix=all_ro/shape=medium_1k-10                  	65339902	         9.479 ns/op	105495.20 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=4/mix=all_ro/shape=medium_1k-10                  	39781972	        15.16 ns/op	65980.18 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=4/mix=all_ro/shape=medium_1k-10                  	39463838	        16.83 ns/op	59435.02 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=8/mix=all_ro/shape=medium_1k-10                  	21352597	        30.74 ns/op	32526.89 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=8/mix=all_ro/shape=medium_1k-10                  	19660527	        28.55 ns/op	35022.25 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=16/mix=all_ro/shape=medium_1k-10                 	10030159	        64.64 ns/op	15470.33 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=16/mix=all_ro/shape=medium_1k-10                 	10516474	        60.55 ns/op	16514.68 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=1/mix=half/shape=medium_1k-10                    	237420778	         2.417 ns/op	413755.22 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=1/mix=half/shape=medium_1k-10                    	258107163	         2.422 ns/op	412833.99 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=2/mix=half/shape=medium_1k-10                    	    2978	    189875 ns/op	   5.27 MB/s	  260545 B/op	    5009 allocs/op
BenchmarkLogsFanout/n=2/mix=half/shape=medium_1k-10                    	    3006	    214657 ns/op	   4.66 MB/s	  260545 B/op	    5009 allocs/op
BenchmarkLogsFanout/n=4/mix=half/shape=medium_1k-10                    	    1681	    346218 ns/op	   2.89 MB/s	  521090 B/op	   10018 allocs/op
BenchmarkLogsFanout/n=4/mix=half/shape=medium_1k-10                    	    1700	    337410 ns/op	   2.96 MB/s	  521090 B/op	   10018 allocs/op
BenchmarkLogsFanout/n=8/mix=half/shape=medium_1k-10                    	     976	    851806 ns/op	   1.17 MB/s	 1042183 B/op	   20036 allocs/op
BenchmarkLogsFanout/n=8/mix=half/shape=medium_1k-10                    	     796	    709853 ns/op	   1.41 MB/s	 1042180 B/op	   20036 allocs/op
BenchmarkLogsFanout/n=16/mix=half/shape=medium_1k-10                   	     442	   1455759 ns/op	   0.69 MB/s	 2084361 B/op	   40072 allocs/op
BenchmarkLogsFanout/n=16/mix=half/shape=medium_1k-10                   	     326	   1710127 ns/op	   0.58 MB/s	 2084367 B/op	   40072 allocs/op
BenchmarkLogsFanout/n=1/mix=one_mut_rest_ro/shape=medium_1k-10         	87613086	         6.878 ns/op	145388.71 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=1/mix=one_mut_rest_ro/shape=medium_1k-10         	88273160	         6.991 ns/op	143044.68 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=2/mix=one_mut_rest_ro/shape=medium_1k-10         	    3268	    222904 ns/op	   4.49 MB/s	  260545 B/op	    5009 allocs/op
BenchmarkLogsFanout/n=2/mix=one_mut_rest_ro/shape=medium_1k-10         	    3348	    169543 ns/op	   5.90 MB/s	  260545 B/op	    5009 allocs/op
BenchmarkLogsFanout/n=4/mix=one_mut_rest_ro/shape=medium_1k-10         	    3579	    187491 ns/op	   5.33 MB/s	  260544 B/op	    5009 allocs/op
BenchmarkLogsFanout/n=4/mix=one_mut_rest_ro/shape=medium_1k-10         	    3174	    275410 ns/op	   3.63 MB/s	  260547 B/op	    5009 allocs/op
BenchmarkLogsFanout/n=8/mix=one_mut_rest_ro/shape=medium_1k-10         	    3108	    188162 ns/op	   5.31 MB/s	  260544 B/op	    5009 allocs/op
BenchmarkLogsFanout/n=8/mix=one_mut_rest_ro/shape=medium_1k-10         	    3207	    172474 ns/op	   5.80 MB/s	  260545 B/op	    5009 allocs/op
BenchmarkLogsFanout/n=16/mix=one_mut_rest_ro/shape=medium_1k-10        	    3429	    171203 ns/op	   5.84 MB/s	  260545 B/op	    5009 allocs/op
BenchmarkLogsFanout/n=16/mix=one_mut_rest_ro/shape=medium_1k-10        	    3560	    212369 ns/op	   4.71 MB/s	  260545 B/op	    5009 allocs/op
BenchmarkLogsFanout/n=1/mix=all_mut/shape=large_10k-10                 	88172082	         6.919 ns/op	1445394.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=1/mix=all_mut/shape=large_10k-10                 	71677094	         7.564 ns/op	1322000.21 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=2/mix=all_mut/shape=large_10k-10                 	     288	   2306325 ns/op	   4.34 MB/s	 2602300 B/op	   50009 allocs/op
BenchmarkLogsFanout/n=2/mix=all_mut/shape=large_10k-10                 	     290	   2059563 ns/op	   4.86 MB/s	 2602282 B/op	   50009 allocs/op
BenchmarkLogsFanout/n=4/mix=all_mut/shape=large_10k-10                 	     100	   6767785 ns/op	   1.48 MB/s	 7806837 B/op	  150027 allocs/op
BenchmarkLogsFanout/n=4/mix=all_mut/shape=large_10k-10                 	      90	   6435269 ns/op	   1.55 MB/s	 7806846 B/op	  150027 allocs/op
BenchmarkLogsFanout/n=8/mix=all_mut/shape=large_10k-10                 	      42	  14499451 ns/op	   0.69 MB/s	18215960 B/op	  350063 allocs/op
BenchmarkLogsFanout/n=8/mix=all_mut/shape=large_10k-10                 	      40	  17497215 ns/op	   0.57 MB/s	18215973 B/op	  350063 allocs/op
BenchmarkLogsFanout/n=16/mix=all_mut/shape=large_10k-10                	      19	  37172397 ns/op	   0.27 MB/s	39034207 B/op	  750135 allocs/op
BenchmarkLogsFanout/n=16/mix=all_mut/shape=large_10k-10                	      16	  32097609 ns/op	   0.31 MB/s	39034202 B/op	  750135 allocs/op
BenchmarkLogsFanout/n=1/mix=all_ro/shape=large_10k-10                  	219109546	         2.585 ns/op	3869063.75 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=1/mix=all_ro/shape=large_10k-10                  	258634856	         2.352 ns/op	4251469.86 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=2/mix=all_ro/shape=large_10k-10                  	60033018	         9.410 ns/op	1062644.06 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=2/mix=all_ro/shape=large_10k-10                  	65041234	         9.727 ns/op	1028105.82 MB/s	       0 B/op	       0 allocs/op
