goos: darwin
goarch: arm64
pkg: go.opentelemetry.io/collector/internal/fanoutconsumer
cpu: Apple M1 Max
BenchmarkLogsFanout/n=1/mix=all_mut/shape=medium_1k-10                 	82123808	         6.954 ns/op	143811.91 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=2/mix=all_mut/shape=medium_1k-10                 	    3652	    173740 ns/op	   5.76 MB/s	  260545 B/op	    5009 allocs/op
BenchmarkLogsFanout/n=2/mix=all_mut/shape=medium_1k-10                 	    4036	    162657 ns/op	   6.15 MB/s	  260545 B/op	    5009 allocs/op
BenchmarkLogsFanout/n=4/mix=all_mut/shape=medium_1k-10                 	    1437	    519931 ns/op	   1.92 MB/s	  781636 B/op	   15027 allocs/op
BenchmarkLogsFanout/n=4/mix=all_mut/shape=medium_1k-10                 	    1412	    480366 ns/op	   2.08 MB/s	  781636 B/op	   15027 allocs/op
BenchmarkLogsFanout/n=8/mix=all_mut/shape=medium_1k-10                 	     488	   1099315 ns/op	   0.91 MB/s	 1823816 B/op	   35063 allocs/op
BenchmarkLogsFanout/n=8/mix=all_mut/shape=medium_1k-10                 	     511	   1193662 ns/op	   0.84 MB/s	 1823819 B/op	   35063 allocs/op
BenchmarkLogsFanout/n=16/mix=all_mut/shape=medium_1k-10                	     264	   2069551 ns/op	   0.48 MB/s	 3908174 B/op	   75135 allocs/op
BenchmarkLogsFanout/n=16/mix=all_mut/shape=medium_1k-10                	     266	   2658934 ns/op	   0.38 MB/s	 3908185 B/op	   75135 allocs/op
BenchmarkLogsFanout/n=1/mix=all_ro/shape=medium_1k-10                  	284781513	         2.089 ns/op	478698.21 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=1/mix=all_ro/shape=medium_1k-10                  	284514244	         2.176 ns/op	459645.34 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=2/mix=all_ro/shape=medium_1k-10                  	59676012	         9.143 ns/op	109376.02 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=2/mix=all_ro/shape=medium_1k-10                  	70114270	         8.610 ns/op	116141.14 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=4/mix=all_ro/shape=medium_1k-10                  	42125586	        14.45 ns/op	69213.74 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=4/mix=all_ro/shape=medium_1k-10                  	41070220	        16.58 ns/op	60331.62 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=8/mix=all_ro/shape=medium_1k-10                  	22157323	        26.57 ns/op	37632.54 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=8/mix=all_ro/shape=medium_1k-10                  	22701868	        26.63 ns/op	37554.97 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=16/mix=all_ro/shape=medium_1k-10                 	 9267255	        57.11 ns/op	17508.96 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=16/mix=all_ro/shape=medium_1k-10                 	10603056	        57.91 ns/op	17269.57 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=1/mix=half/shape=medium_1k-10                    	283936246	         2.184 ns/op	457795.83 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=1/mix=half/shape=medium_1k-10                    	286159194	         2.125 ns/op	470509.02 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=2/mix=half/shape=medium_1k-10                    	    3902	    155778 ns/op	   6.42 MB/s	  260545 B/op	    5009 allocs/op
BenchmarkLogsFanout/n=2/mix=half/shape=medium_1k-10                    	    4065	    160755 ns/op	   6.22 MB/s	  260545 B/op	    5009 allocs/op
BenchmarkLogsFanout/n=4/mix=half/shape=medium_1k-10                    	    1920	    291004 ns/op	   3.44 MB/s	  521092 B/op	   10018 allocs/op
BenchmarkLogsFanout/n=4/mix=half/shape=medium_1k-10                    	    2022	    330848 ns/op	   3.02 MB/s	  521090 B/op	   10018 allocs/op
BenchmarkLogsFanout/n=8/mix=half/shape=medium_1k-10                    	     876	    725246 ns/op	   1.38 MB/s	 1042182 B/op	   20036 allocs/op
BenchmarkLogsFanout/n=8/mix=half/shape=medium_1k-10                    	    1108	    805198 ns/op	   1.24 MB/s	 1042183 B/op	   20036 allocs/op
BenchmarkLogsFanout/n=16/mix=half/shape=medium_1k-10                   	     480	   1295169 ns/op	   0.77 MB/s	 2084361 B/op	   40072 allocs/op
BenchmarkLogsFanout/n=16/mix=half/shape=medium_1k-10                   	     472	   1132042 ns/op	   0.88 MB/s	 2084360 B/op	   40072 allocs/op
BenchmarkLogsFanout/n=1/mix=one_mut_rest_ro/shape=medium_1k-10         	89350532	         6.978 ns/op	143304.36 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=1/mix=one_mut_rest_ro/shape=medium_1k-10         	87922276	         7.316 ns/op	136694.06 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=2/mix=one_mut_rest_ro/shape=medium_1k-10         	    3763	    178133 ns/op	   5.61 MB/s	  260545 B/op	    5009 allocs/op
BenchmarkLogsFanout/n=2/mix=one_mut_rest_ro/shape=medium_1k-10         	    4388	    162391 ns/op	   6.16 MB/s	  260545 B/op	    5009 allocs/op
BenchmarkLogsFanout/n=4/mix=one_mut_rest_ro/shape=medium_1k-10         	    4120	    160002 ns/op	   6.25 MB/s	  260545 B/op	    5009 allocs/op
BenchmarkLogsFanout/n=4/mix=one_mut_rest_ro/shape=medium_1k-10         	    4447	    149257 ns/op	   6.70 MB/s	  260545 B/op	    5009 allocs/op
BenchmarkLogsFanout/n=8/mix=one_mut_rest_ro/shape=medium_1k-10         	    3880	    163886 ns/op	   6.10 MB/s	  260545 B/op	    5009 allocs/op
BenchmarkLogsFanout/n=8/mix=one_mut_rest_ro/shape=medium_1k-10         	    4203	    161088 ns/op	   6.21 MB/s	  260545 B/op	    5009 allocs/op
BenchmarkLogsFanout/n=16/mix=one_mut_rest_ro/shape=medium_1k-10        	    3705	    178481 ns/op	   5.60 MB/s	  260545 B/op	    5009 allocs/op
BenchmarkLogsFanout/n=16/mix=one_mut_rest_ro/shape=medium_1k-10        	    3800	    148594 ns/op	   6.73 MB/s	  260545 B/op	    5009 allocs/op
BenchmarkLogsFanout/n=1/mix=all_mut/shape=large_10k-10                 	85628656	         6.879 ns/op	1453663.74 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=1/mix=all_mut/shape=large_10k-10                 	87969548	         7.230 ns/op	1383218.11 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=2/mix=all_mut/shape=large_10k-10                 	     315	   2114574 ns/op	   4.73 MB/s	 2602280 B/op	   50009 allocs/op
BenchmarkLogsFanout/n=2/mix=all_mut/shape=large_10k-10                 	     315	   2236305 ns/op	   4.47 MB/s	 2602283 B/op	   50009 allocs/op
BenchmarkLogsFanout/n=4/mix=all_mut/shape=large_10k-10                 	      99	   5802779 ns/op	   1.72 MB/s	 7806835 B/op	  150027 allocs/op
BenchmarkLogsFanout/n=4/mix=all_mut/shape=large_10k-10                 	      96	   5760531 ns/op	   1.74 MB/s	 7806836 B/op	  150027 allocs/op
BenchmarkLogsFanout/n=8/mix=all_mut/shape=large_10k-10                 	      38	  14527490 ns/op	   0.69 MB/s	18216105 B/op	  350063 allocs/op
BenchmarkLogsFanout/n=8/mix=all_mut/shape=large_10k-10                 	      40	  14246483 ns/op	   0.70 MB/s	18215960 B/op	  350063 allocs/op
BenchmarkLogsFanout/n=16/mix=all_mut/shape=large_10k-10                	      19	  28562250 ns/op	   0.35 MB/s	39034223 B/op	  750135 allocs/op
BenchmarkLogsFanout/n=16/mix=all_mut/shape=large_10k-10                	      16	  31627341 ns/op	   0.32 MB/s	39034198 B/op	  750135 allocs/op
BenchmarkLogsFanout/n=1/mix=all_ro/shape=large_10k-10                  	280239549	         2.190 ns/op	4566333.96 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=1/mix=all_ro/shape=large_10k-10                  	284148985	         2.130 ns/op	4694116.04 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=2/mix=all_ro/shape=large_10k-10                  	58022398	         8.864 ns/op	1128204.17 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=2/mix=all_ro/shape=large_10k-10                  	68188597	         8.991 ns/op	1112225.77 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=4/mix=all_ro/shape=large_10k-10                  	42019993	        14.35 ns/op	697074.59 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=4/mix=all_ro/shape=large_10k-10                  	41961589	        15.02 ns/op	665596.51 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=8/mix=all_ro/shape=large_10k-10                  	22464898	        27.43 ns/op	364539.61 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=8/mix=all_ro/shape=large_10k-10                  	22236153	        26.57 ns/op	376322.23 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=16/mix=all_ro/shape=large_10k-10                 	10027540	        56.77 ns/op	176138.89 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=16/mix=all_ro/shape=large_10k-10                 	10810834	        57.33 ns/op	174428.81 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=1/mix=half/shape=large_10k-10                    	286316628	         2.223 ns/op	4498229.65 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=1/mix=half/shape=large_10k-10                    	284977867	         2.152 ns/op	4647905.89 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=2/mix=half/shape=large_10k-10                    	     298	   1813638 ns/op	   5.51 MB/s	 2602279 B/op	   50009 allocs/op
BenchmarkLogsFanout/n=2/mix=half/shape=large_10k-10                    	     288	   1892202 ns/op	   5.28 MB/s	 2602280 B/op	   50009 allocs/op
BenchmarkLogsFanout/n=4/mix=half/shape=large_10k-10                    	     152	   3921309 ns/op	   2.55 MB/s	 5204558 B/op	  100018 allocs/op
BenchmarkLogsFanout/n=4/mix=half/shape=large_10k-10                    	     157	   3993399 ns/op	   2.50 MB/s	 5204563 B/op	  100018 allocs/op
BenchmarkLogsFanout/n=8/mix=half/shape=large_10k-10                    	      80	   7887521 ns/op	   1.27 MB/s	10409114 B/op	  200036 allocs/op
BenchmarkLogsFanout/n=8/mix=half/shape=large_10k-10                    	      68	   7976257 ns/op	   1.25 MB/s	10409131 B/op	  200036 allocs/op
BenchmarkLogsFanout/n=16/mix=half/shape=large_10k-10                   	      33	  15422636 ns/op	   0.65 MB/s	20818231 B/op	  400072 allocs/op
BenchmarkLogsFanout/n=16/mix=half/shape=large_10k-10                   	      38	  16798669 ns/op	   0.60 MB/s	20818243 B/op	  400072 allocs/op
BenchmarkLogsFanout/n=1/mix=one_mut_rest_ro/shape=large_10k-10         	86156872	         6.788 ns/op	1473156.11 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=1/mix=one_mut_rest_ro/shape=large_10k-10         	85833405	         6.771 ns/op	1476905.96 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=2/mix=one_mut_rest_ro/shape=large_10k-10         	     320	   1836421 ns/op	   5.45 MB/s	 2602278 B/op	   50009 allocs/op
BenchmarkLogsFanout/n=2/mix=one_mut_rest_ro/shape=large_10k-10         	     256	   2068405 ns/op	   4.83 MB/s	 2602282 B/op	   50009 allocs/op
BenchmarkLogsFanout/n=4/mix=one_mut_rest_ro/shape=large_10k-10         	     302	   1845852 ns/op	   5.42 MB/s	 2602278 B/op	   50009 allocs/op
BenchmarkLogsFanout/n=4/mix=one_mut_rest_ro/shape=large_10k-10         	     320	   2207357 ns/op	   4.53 MB/s	 2602279 B/op	   50009 allocs/op
BenchmarkLogsFanout/n=8/mix=one_mut_rest_ro/shape=large_10k-10         	     314	   1939630 ns/op	   5.16 MB/s	 2602278 B/op	   50009 allocs/op
BenchmarkLogsFanout/n=8/mix=one_mut_rest_ro/shape=large_10k-10         	     312	   1925163 ns/op	   5.19 MB/s	 2602279 B/op	   50009 allocs/op
BenchmarkLogsFanout/n=16/mix=one_mut_rest_ro/shape=large_10k-10        	     303	   1809031 ns/op	   5.53 MB/s	 2602282 B/op	   50009 allocs/op
BenchmarkLogsFanout/n=16/mix=one_mut_rest_ro/shape=large_10k-10        	     332	   2045330 ns/op	   4.89 MB/s	 2602280 B/op	   50009 allocs/op
BenchmarkLogsFanout/n=1/mix=all_mut/shape=rich_100x5x50x10-10          	87008536	         7.054 ns/op	3543942.21 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=1/mix=all_mut/shape=rich_100x5x50x10-10          	87307650	         7.004 ns/op	3569352.62 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=2/mix=all_mut/shape=rich_100x5x50x10-10          	      69	  10243171 ns/op	   2.44 MB/s	18293731 B/op	  326503 allocs/op
BenchmarkLogsFanout/n=2/mix=all_mut/shape=rich_100x5x50x10-10          	      56	  10054727 ns/op	   2.49 MB/s	18293732 B/op	  326503 allocs/op
BenchmarkLogsFanout/n=4/mix=all_mut/shape=rich_100x5x50x10-10          	      19	  31985441 ns/op	   0.78 MB/s	54881199 B/op	  979509 allocs/op
BenchmarkLogsFanout/n=4/mix=all_mut/shape=rich_100x5x50x10-10          	      19	  32372066 ns/op	   0.77 MB/s	54881494 B/op	  979509 allocs/op
BenchmarkLogsFanout/n=8/mix=all_mut/shape=rich_100x5x50x10-10          	       7	  76884006 ns/op	   0.33 MB/s	128056156 B/op	 2285521 allocs/op
BenchmarkLogsFanout/n=8/mix=all_mut/shape=rich_100x5x50x10-10          	       8	  76298188 ns/op	   0.33 MB/s	128056126 B/op	 2285521 allocs/op
BenchmarkLogsFanout/n=16/mix=all_mut/shape=rich_100x5x50x10-10         	       4	 152136864 ns/op	   0.16 MB/s	274405984 B/op	 4897545 allocs/op
BenchmarkLogsFanout/n=16/mix=all_mut/shape=rich_100x5x50x10-10         	       3	 172907458 ns/op	   0.14 MB/s	274405960 B/op	 4897545 allocs/op
BenchmarkLogsFanout/n=1/mix=all_ro/shape=rich_100x5x50x10-10           	280755168	         2.175 ns/op	11492738.40 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=1/mix=all_ro/shape=rich_100x5x50x10-10           	280959052	         2.151 ns/op	11620185.09 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=2/mix=all_ro/shape=rich_100x5x50x10-10           	67880022	         8.959 ns/op	2790507.75 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=2/mix=all_ro/shape=rich_100x5x50x10-10           	69188518	         8.914 ns/op	2804555.62 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=4/mix=all_ro/shape=rich_100x5x50x10-10           	41428596	        15.26 ns/op	1638009.70 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=4/mix=all_ro/shape=rich_100x5x50x10-10           	41046807	        15.13 ns/op	1651862.08 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=8/mix=all_ro/shape=rich_100x5x50x10-10           	22084466	        27.11 ns/op	922287.55 MB/s	       0 B/op	       0 allocs/op
