goos: darwin
goarch: arm64
pkg: go.opentelemetry.io/collector/internal/fanoutconsumer
cpu: Apple M1 Max
BenchmarkLogsFanout/n=1/mix=one_real_mut_rest_ro/shape=small_10-10     	11821436	        52.78 ns/op	 189.46 MB/s	     172 B/op	       1 allocs/op
BenchmarkLogsFanout/n=2/mix=one_real_mut_rest_ro/shape=small_10-10     	  285230	      1996 ns/op	   5.01 MB/s	    3096 B/op	      61 allocs/op
BenchmarkLogsFanout/n=2/mix=one_real_mut_rest_ro/shape=small_10-10     	  345327	      1997 ns/op	   5.01 MB/s	    3096 B/op	      61 allocs/op
BenchmarkLogsFanout/n=4/mix=one_real_mut_rest_ro/shape=small_10-10     	  327915	      1781 ns/op	   5.61 MB/s	    3096 B/op	      61 allocs/op
BenchmarkLogsFanout/n=4/mix=one_real_mut_rest_ro/shape=small_10-10     	  339987	      1917 ns/op	   5.22 MB/s	    3096 B/op	      61 allocs/op
BenchmarkLogsFanout/n=8/mix=one_real_mut_rest_ro/shape=small_10-10     	  344554	      1972 ns/op	   5.07 MB/s	    3096 B/op	      61 allocs/op
BenchmarkLogsFanout/n=8/mix=one_real_mut_rest_ro/shape=small_10-10     	  321422	      2031 ns/op	   4.92 MB/s	    3096 B/op	      61 allocs/op
BenchmarkLogsFanout/n=16/mix=one_real_mut_rest_ro/shape=small_10-10    	  318166	      1881 ns/op	   5.32 MB/s	    3096 B/op	      61 allocs/op
BenchmarkLogsFanout/n=16/mix=one_real_mut_rest_ro/shape=small_10-10    	  320674	      2631 ns/op	   3.80 MB/s	    3096 B/op	      61 allocs/op
BenchmarkLogsFanout/n=1/mix=all_mut/shape=medium_1k-10                 	71928430	         8.156 ns/op	122603.89 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=1/mix=all_mut/shape=medium_1k-10                 	85886056	         6.891 ns/op	145122.33 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=2/mix=all_mut/shape=medium_1k-10                 	    2937	    215029 ns/op	   4.65 MB/s	  260545 B/op	    5009 allocs/op
BenchmarkLogsFanout/n=2/mix=all_mut/shape=medium_1k-10                 	    3115	    202956 ns/op	   4.93 MB/s	  260545 B/op	    5009 allocs/op
BenchmarkLogsFanout/n=4/mix=all_mut/shape=medium_1k-10                 	     931	    621249 ns/op	   1.61 MB/s	  781636 B/op	   15027 allocs/op
BenchmarkLogsFanout/n=4/mix=all_mut/shape=medium_1k-10                 	     855	    680423 ns/op	   1.47 MB/s	  781638 B/op	   15027 allocs/op
BenchmarkLogsFanout/n=8/mix=all_mut/shape=medium_1k-10                 	     442	   1351997 ns/op	   0.74 MB/s	 1823814 B/op	   35063 allocs/op
BenchmarkLogsFanout/n=8/mix=all_mut/shape=medium_1k-10                 	     399	   1486476 ns/op	   0.67 MB/s	 1823817 B/op	   35063 allocs/op
BenchmarkLogsFanout/n=16/mix=all_mut/shape=medium_1k-10                	     207	   3220023 ns/op	   0.31 MB/s	 3908180 B/op	   75135 allocs/op
BenchmarkLogsFanout/n=16/mix=all_mut/shape=medium_1k-10                	     199	   2960988 ns/op	   0.34 MB/s	 3908172 B/op	   75135 allocs/op
BenchmarkLogsFanout/n=1/mix=all_ro/shape=medium_1k-10                  	254623044	         2.455 ns/op	407305.69 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=1/mix=all_ro/shape=medium_1k-10                  	250762779	         2.507 ns/op	398815.09 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=2/mix=all_ro/shape=medium_1k-10                  	57722934	        10.07 ns/op	99265.02 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=2/mix=all_ro/shape=medium_1k-10                  	60494286	        10.95 ns/op	91331.78 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=4/mix=all_ro/shape=medium_1k-10                  	39313648	        15.55 ns/op	64318.19 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=4/mix=all_ro/shape=medium_1k-10                  	37142211	        15.88 ns/op	62955.46 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=8/mix=all_ro/shape=medium_1k-10                  	22030104	        28.74 ns/op	34794.53 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=8/mix=all_ro/shape=medium_1k-10                  	22175338	        27.24 ns/op	36710.71 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=16/mix=all_ro/shape=medium_1k-10                 	 9855655	        61.22 ns/op	16334.56 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=16/mix=all_ro/shape=medium_1k-10                 	10558012	        57.05 ns/op	17529.54 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=1/mix=half/shape=medium_1k-10                    	255798453	         2.311 ns/op	432779.71 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=1/mix=half/shape=medium_1k-10                    	235574997	         2.693 ns/op	371298.85 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=2/mix=half/shape=medium_1k-10                    	    3150	    192742 ns/op	   5.19 MB/s	  260544 B/op	    5009 allocs/op
BenchmarkLogsFanout/n=2/mix=half/shape=medium_1k-10                    	    3350	    184013 ns/op	   5.43 MB/s	  260544 B/op	    5009 allocs/op
BenchmarkLogsFanout/n=4/mix=half/shape=medium_1k-10                    	    1742	    426797 ns/op	   2.34 MB/s	  521091 B/op	   10018 allocs/op
BenchmarkLogsFanout/n=4/mix=half/shape=medium_1k-10                    	    1471	    380237 ns/op	   2.63 MB/s	  521089 B/op	   10018 allocs/op
BenchmarkLogsFanout/n=8/mix=half/shape=medium_1k-10                    	     777	    761375 ns/op	   1.31 MB/s	 1042181 B/op	   20036 allocs/op
BenchmarkLogsFanout/n=8/mix=half/shape=medium_1k-10                    	     757	    884598 ns/op	   1.13 MB/s	 1042181 B/op	   20036 allocs/op
BenchmarkLogsFanout/n=16/mix=half/shape=medium_1k-10                   	     384	   1554054 ns/op	   0.64 MB/s	 2084358 B/op	   40072 allocs/op
BenchmarkLogsFanout/n=16/mix=half/shape=medium_1k-10                   	     385	   1804647 ns/op	   0.55 MB/s	 2084367 B/op	   40072 allocs/op
BenchmarkLogsFanout/n=1/mix=one_mut_rest_ro/shape=medium_1k-10         	86359414	         7.646 ns/op	130781.20 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=1/mix=one_mut_rest_ro/shape=medium_1k-10         	85920900	         7.288 ns/op	137213.12 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=2/mix=one_mut_rest_ro/shape=medium_1k-10         	    3404	    173870 ns/op	   5.75 MB/s	  260545 B/op	    5009 allocs/op
BenchmarkLogsFanout/n=2/mix=one_mut_rest_ro/shape=medium_1k-10         	    3739	    186097 ns/op	   5.37 MB/s	  260545 B/op	    5009 allocs/op
BenchmarkLogsFanout/n=4/mix=one_mut_rest_ro/shape=medium_1k-10         	    3042	    180907 ns/op	   5.53 MB/s	  260545 B/op	    5009 allocs/op
BenchmarkLogsFanout/n=4/mix=one_mut_rest_ro/shape=medium_1k-10         	    3021	    190227 ns/op	   5.26 MB/s	  260545 B/op	    5009 allocs/op
BenchmarkLogsFanout/n=8/mix=one_mut_rest_ro/shape=medium_1k-10         	    3433	    193767 ns/op	   5.16 MB/s	  260545 B/op	    5009 allocs/op
BenchmarkLogsFanout/n=8/mix=one_mut_rest_ro/shape=medium_1k-10         	    4262	    197857 ns/op	   5.05 MB/s	  260545 B/op	    5009 allocs/op
BenchmarkLogsFanout/n=16/mix=one_mut_rest_ro/shape=medium_1k-10        	    3268	    175009 ns/op	   5.71 MB/s	  260544 B/op	    5009 allocs/op
BenchmarkLogsFanout/n=16/mix=one_mut_rest_ro/shape=medium_1k-10        	    3640	    200874 ns/op	   4.98 MB/s	  260545 B/op	    5009 allocs/op
BenchmarkLogsFanout/n=1/mix=one_real_mut_rest_ro/shape=medium_1k-10    	 7215364	        83.55 ns/op	11969.18 MB/s	     174 B/op	       1 allocs/op
BenchmarkLogsFanout/n=1/mix=one_real_mut_rest_ro/shape=medium_1k-10    	10961448	        62.65 ns/op	15962.49 MB/s	     176 B/op	       1 allocs/op
BenchmarkLogsFanout/n=2/mix=one_real_mut_rest_ro/shape=medium_1k-10    	    2499	    225993 ns/op	   4.42 MB/s	  260690 B/op	    5011 allocs/op
BenchmarkLogsFanout/n=2/mix=one_real_mut_rest_ro/shape=medium_1k-10    	    3285	    208118 ns/op	   4.80 MB/s	  260689 B/op	    5011 allocs/op
BenchmarkLogsFanout/n=4/mix=one_real_mut_rest_ro/shape=medium_1k-10    	    3046	    235743 ns/op	   4.24 MB/s	  260691 B/op	    5011 allocs/op
